index,profit,number of trade,Average Gain,SD,Maximum Gain in One Trade,Maximum Loss in One Trade
"(58, 225)",7817.449221,7,1116.77846,1080.453606,2127.320313,-1322.289062
"(58, 220)",7788.279299,7,1112.611328,1042.48343,2012.320313,-1249.039062
"(59, 217)",7788.279299,7,1112.611328,1042.48343,2012.320313,-1249.039062
"(59, 218)",7788.279299,7,1112.611328,1042.48343,2012.320313,-1249.039062
"(57, 224)",7775.699221,7,1110.814174,1041.993522,2012.320313,-1249.039062
"(58, 221)",7775.699221,7,1110.814174,1041.993522,2012.320313,-1249.039062
"(58, 222)",7775.699221,7,1110.814174,1041.993522,2012.320313,-1249.039062
"(58, 223)",7775.699221,7,1110.814174,1041.993522,2012.320313,-1249.039062
"(59, 219)",7775.699221,7,1110.814174,1041.993522,2012.320313,-1249.039062
"(59, 222)",7760.29883,7,1108.614119,1046.978108,2012.320313,-1264.439453
"(56, 226)",8829.941408,8,1103.742676,817.5636594,2127.320313,-669.488281
"(57, 232)",8828.400393,8,1103.550049,1030.835494,2233.111328,-1264.439453
"(59, 246)",8816.669923,8,1102.08374,836.6079178,1822,-908.25
"(59, 209)",7708.900391,7,1101.271484,911.3058919,1938.380859,-954.289063
"(57, 233)",8802.939455,8,1100.367432,1076.861072,2233.111328,-1383.179687
"(55, 248)",9889.970703,9,1098.885634,781.1744463,2033.53125,-742.320313
"(59, 249)",8784.511719,8,1098.063965,885.3670353,1822,-1053.808594
"(58, 212)",7654.048829,7,1093.435547,908.4296789,1938.380859,-954.289063
"(58, 213)",7654.048829,7,1093.435547,908.4296789,1938.380859,-954.289063
"(58, 214)",7654.048829,7,1093.435547,908.4296789,1938.380859,-954.289063
"(58, 215)",7654.048829,7,1093.435547,908.4296789,1938.380859,-954.289063
"(59, 210)",7654.048829,7,1093.435547,908.4296789,1938.380859,-954.289063
"(59, 211)",7654.048829,7,1093.435547,908.4296789,1938.380859,-954.289063
"(58, 224)",7649.54883,7,1092.79269,1134.829381,2127.320313,-1490.189453
"(56, 225)",8714.941408,8,1089.367676,800.2680579,2012.320313,-669.488281
"(59, 247)",8671.111329,8,1083.888916,880.5597695,1822,-1053.808594
"(59, 248)",8671.111329,8,1083.888916,880.5597695,1822,-1053.808594
"(54, 249)",9749.43164,9,1083.270182,786.2443174,2033.53125,-742.320313
"(59, 220)",7534.54883,7,1076.364119,1120.475564,2012.320313,-1490.189453
"(59, 221)",7526.04883,7,1075.149833,1123.257493,2012.320313,-1498.689453
"(57, 231)",8594.779299,8,1074.347412,1001.308662,2127.320313,-1264.439453
"(56, 238)",9669.060548,9,1074.340061,1037.339973,2233.111328,-1383.179687
"(58, 228)",8592.421877,8,1074.052735,1027.857528,2233.111328,-1264.439453
"(53, 238)",9616.419924,9,1068.491103,780.2667084,2127.320313,-669.488281
"(53, 239)",9616.419924,9,1068.491103,780.2667084,2127.320313,-669.488281
"(55, 228)",8545.140626,8,1068.142578,896.4018611,2127.320313,-954.289063
"(59, 208)",7466.041016,7,1066.577288,903.783833,1938.380859,-954.289063
"(55, 246)",9598.689453,9,1066.52105,789.0313709,2033.53125,-742.320313
"(55, 247)",9598.689453,9,1066.52105,789.0313709,2033.53125,-742.320313
"(57, 220)",8496.740235,8,1062.092529,865.9086167,1938.380859,-954.289063
"(58, 229)",8476.501955,8,1059.562744,1061.775825,2233.111328,-1383.179687
"(58, 227)",8475.201174,8,1059.400147,1011.942474,2127.320313,-1264.439453
"(59, 225)",8475.201174,8,1059.400147,1011.942474,2127.320313,-1264.439453
"(55, 244)",9518.771483,9,1057.641276,820.1437725,2233.111328,-742.320313
"(55, 243)",9491.58203,9,1054.620226,826.7916126,2233.111328,-769.509766
"(56, 224)",8430.140626,8,1053.767578,880.0746679,2012.320313,-954.289063
"(57, 229)",8394.699221,8,1049.337403,996.9756622,2127.320313,-1264.439453
"(54, 248)",9430.960937,9,1047.884549,800.2588366,2033.53125,-769.509766
"(57, 230)",8316.599611,8,1039.574951,998.0859868,2127.320313,-1264.439453
"(52, 243)",9356.039065,9,1039.559896,776.2860427,2127.320313,-669.488281
"(55, 227)",8310.41211,8,1038.801514,872.804606,2127.320313,-954.289063
"(56, 237)",9341.769533,9,1037.974393,1005.725848,2233.111328,-1383.179687
"(53, 237)",9331.619142,9,1036.846571,852.538699,2127.320313,-954.289063
"(57, 227)",8292.878909,8,1036.609864,979.1797849,2127.320313,-1249.039062
"(55, 245)",9318.05078,9,1035.338976,790.2591484,2033.53125,-742.320313
"(58, 226)",8277.478518,8,1034.684815,983.6762494,2127.320313,-1264.439453
"(56, 232)",9301.62891,9,1033.514323,881.6284911,2127.320313,-1081.138671
"(57, 217)",8262.011719,8,1032.751465,841.2456754,1938.380859,-954.289063
"(57, 218)",8262.011719,8,1032.751465,841.2456754,1938.380859,-954.289063
"(57, 219)",8262.011719,8,1032.751465,841.2456754,1938.380859,-954.289063
